-,-,-
PP,Plunder Pals,甜点海盗; 与读书真难等效
RR,Resounding Rendition,余音绕梁的歌声
CE,Crystalian Envoy,冰晶少女
BBW,Bonds_Between_Worlds,跨越时空的友情
LC,Levin's Champion,雷维昂的英雄
VC,Valiant Crown,勇气之冠
FoG,Flash of Genius,天才的灵感
FP,Fresh Perspective,不一样的视角
KFM,Kung Fu Masters,功夫大师
FB,Forest_Bonds,森林中养成的默契
DnT,Dragon_and_Tamer,驯龙马戏团
tSO,The_Shining_Overlord,光辉至高霸主
SS,Stellar_Show,完美表演
FitF,Flower_in_the_Fray,百刃缭乱
JotS,Jewels_of_the_Sun,宝石与剑
FRH,First_Rate_Hospitality,顶级服务
HG,Halidom Grooms,圣城的新郎们
HoH,Heralds_of_Hinomoto,日出之国的使者
EoL,Evening_of_Luxury,奢华盛宴
TL,Tough_Love,魔鬼教官的声援
,,
,Bellathorna,颠茄花
,Together_We_Stand,战场上的两人
,One_with_the_Shadows,此身成影
,The_Prince_of_Dragonyule,星龙祭王子殿下
,The_Chocolatiers,手工巧克力教学
,Worthy_Rivals,旗鼓相当的对手
,Lord_of_the_Skies,天空的霸主
,Witchs_Kitchen,巫女手制
,Lunar_Festivities,春节祭典
,The_Warrioresses,致命佳丽
