-,60,_
4963,Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1431,force_strike:396,skill_1:1487,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:522,s1_boost:1125
2407,_c_Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],!<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1045,force_strike:292,skill_1:1069,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:0,s1_boost:0
-,60,k
5459,Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1574,force_strike:436,skill_1:1636,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:574,s1_boost:1238
2648,_c_Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],!<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1149,force_strike:321,skill_1:1176,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:0,s1_boost:0
-,60,r
5433,Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1431,force_strike:396,skill_1:1710,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:600,s1_boost:1294
2567,_c_Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],!<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1045,force_strike:292,skill_1:1230,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:0,s1_boost:0
-,60,kr
5977,Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1574,force_strike:436,skill_1:1881,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:660,s1_boost:1424
2824,_c_Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],!<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1149,force_strike:321,skill_1:1353,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:0,s1_boost:0
-,60,d
4963,Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1431,force_strike:396,skill_1:1487,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:522,s1_boost:1125
2407,_c_Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],!<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1045,force_strike:292,skill_1:1069,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:0,s1_boost:0
-,60,kd
5459,Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1574,force_strike:436,skill_1:1636,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:574,s1_boost:1238
2648,_c_Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],!<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1149,force_strike:321,skill_1:1176,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:0,s1_boost:0
-,60,b
5020,Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1536,force_strike:319,skill_1:1491,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:543,s1_boost:1129
2415,_c_Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],!<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1115,force_strike:233,skill_1:1066,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:0,s1_boost:0
-,60,kb
5522,Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1690,force_strike:351,skill_1:1640,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:597,s1_boost:1242
2656,_c_Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],!<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1227,force_strike:256,skill_1:1173,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:0,s1_boost:0
-,60,rd
5433,Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1431,force_strike:396,skill_1:1710,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:600,s1_boost:1294
2567,_c_Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],!<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1045,force_strike:292,skill_1:1230,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:0,s1_boost:0
-,60,krd
5977,Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1574,force_strike:436,skill_1:1881,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:660,s1_boost:1424
2824,_c_Fleur,4*,light,dagger,3031,[Twinfold_Bonds+Levins_Champion][Cupid],!<hp70 & hit15 & 0 resist>,c4fs; S1 then S1 S2 S3 S1,attack:1149,force_strike:321,skill_1:1353,skill_2:0,skill_3:0,team_buff:0,s1_paralysis:0,s1_boost:0
-,60,rb
