-,60,_
3992,G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:870,force_strike:130,skill_1:1803,skill_2:703,skill_3:237,team_buff:0,s2_boost:246
3498,_c_G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:762,force_strike:114,skill_1:1580,skill_2:616,skill_3:208,team_buff:0,s2_boost:216
-,60,k
4391,G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:957,force_strike:143,skill_1:1983,skill_2:774,skill_3:261,team_buff:0,s2_boost:271
3848,_c_G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:838,force_strike:126,skill_1:1738,skill_2:678,skill_3:228,team_buff:0,s2_boost:237
-,60,r
4441,G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:870,force_strike:130,skill_1:2073,skill_2:809,skill_3:273,team_buff:0,s2_boost:283
3891,_c_G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:762,force_strike:114,skill_1:1817,skill_2:709,skill_3:239,team_buff:0,s2_boost:248
-,60,kr
4885,G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:957,force_strike:143,skill_1:2281,skill_2:890,skill_3:300,team_buff:0,s2_boost:311
4280,_c_G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:838,force_strike:126,skill_1:1998,skill_2:780,skill_3:263,team_buff:0,s2_boost:273
-,60,d
4245,G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:925,force_strike:139,skill_1:1917,skill_2:748,skill_3:252,team_buff:0,s2_boost:262
3732,_c_G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:813,force_strike:122,skill_1:1685,skill_2:658,skill_3:222,team_buff:0,s2_boost:230
-,60,kd
4669,G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:1018,force_strike:153,skill_1:2109,skill_2:823,skill_3:277,team_buff:0,s2_boost:288
4105,_c_G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:894,force_strike:134,skill_1:1854,skill_2:723,skill_3:244,team_buff:0,s2_boost:253
-,60,b
4004,G_Mym,5*,flame,lance,2363,[Resounding_Rendition+Jewels_of_the_Sun][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:761,force_strike:144,skill_1:1695,skill_2:675,skill_3:489,team_buff:0,s2_boost:236
3502,_c_G_Mym,5*,flame,lance,2363,[Resounding_Rendition+Jewels_of_the_Sun][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:666,force_strike:126,skill_1:1483,skill_2:590,skill_3:428,team_buff:0,s2_boost:206
-,60,kb
4404,G_Mym,5*,flame,lance,2363,[Resounding_Rendition+Jewels_of_the_Sun][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:837,force_strike:159,skill_1:1865,skill_2:742,skill_3:538,team_buff:0,s2_boost:260
3852,_c_G_Mym,5*,flame,lance,2363,[Resounding_Rendition+Jewels_of_the_Sun][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:732,force_strike:139,skill_1:1631,skill_2:649,skill_3:471,team_buff:0,s2_boost:227
-,60,rd
4722,G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:925,force_strike:139,skill_1:2205,skill_2:860,skill_3:290,team_buff:0,s2_boost:301
4151,_c_G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:813,force_strike:122,skill_1:1938,skill_2:756,skill_3:255,team_buff:0,s2_boost:264
-,60,krd
5194,G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:1018,force_strike:153,skill_1:2425,skill_2:946,skill_3:319,team_buff:0,s2_boost:331
4566,_c_G_Mym,5*,flame,lance,2349,[Resounding_Rendition+Beautiful_Nothingness][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:894,force_strike:134,skill_1:2132,skill_2:832,skill_3:280,team_buff:0,s2_boost:291
-,60,rb
4468,G_Mym,5*,flame,lance,2363,[Resounding_Rendition+Jewels_of_the_Sun][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:761,force_strike:144,skill_1:1950,skill_2:776,skill_3:563,team_buff:0,s2_boost:271
3909,_c_G_Mym,5*,flame,lance,2363,[Resounding_Rendition+Jewels_of_the_Sun][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:666,force_strike:126,skill_1:1705,skill_2:679,skill_3:492,team_buff:0,s2_boost:237
-,60,krb
4915,G_Mym,5*,flame,lance,2363,[Resounding_Rendition+Jewels_of_the_Sun][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:837,force_strike:159,skill_1:2145,skill_2:854,skill_3:619,team_buff:0,s2_boost:299
4299,_c_G_Mym,5*,flame,lance,2363,[Resounding_Rendition+Jewels_of_the_Sun][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:732,force_strike:139,skill_1:1876,skill_2:747,skill_3:542,team_buff:0,s2_boost:261
-,60,db
4265,G_Mym,5*,flame,lance,2363,[Resounding_Rendition+Jewels_of_the_Sun][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:811,force_strike:154,skill_1:1806,skill_2:719,skill_3:521,team_buff:0,s2_boost:251
3744,_c_G_Mym,5*,flame,lance,2363,[Resounding_Rendition+Jewels_of_the_Sun][Sakuya],!<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:712,force_strike:135,skill_1:1585,skill_2:631,skill_3:458,team_buff:0,s2_boost:221
-,60,kdb
4692,G_Mym,5*,flame,lance,2363,[Resounding_Rendition+Jewels_of_the_Sun][Sakuya],<hp70>,get a1 boost half way; no dragon(see special page with dragon),attack:892,force_strike:169,skill_1:1987,skill_2:791,skill_3:574,team_buff:0,s2_boost:277
