-,sp,_
4373,Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:1261,force_strike:0,skill_1:1852,skill_2:0,skill_3:693,team_buff:0,s1_powerup:566
3715,_c_Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],!<hp70>,2in1 ; Zephyr,attack:1071,force_strike:0,skill_1:1573,skill_2:0,skill_3:589,team_buff:0,s1_powerup:480
-,sp,k
4810,Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:1387,force_strike:0,skill_1:2037,skill_2:0,skill_3:763,team_buff:0,s1_powerup:622
4086,_c_Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],!<hp70>,2in1 ; Zephyr,attack:1178,force_strike:0,skill_1:1730,skill_2:0,skill_3:648,team_buff:0,s1_powerup:528
-,sp,r
4840,Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:1261,force_strike:0,skill_1:2130,skill_2:0,skill_3:797,team_buff:0,s1_powerup:650
4111,_c_Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],!<hp70>,2in1 ; Zephyr,attack:1071,force_strike:0,skill_1:1809,skill_2:0,skill_3:677,team_buff:0,s1_powerup:552
-,sp,kr
5324,Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:1387,force_strike:0,skill_1:2343,skill_2:0,skill_3:877,team_buff:0,s1_powerup:715
4522,_c_Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],!<hp70>,2in1 ; Zephyr,attack:1178,force_strike:0,skill_1:1990,skill_2:0,skill_3:745,team_buff:0,s1_powerup:608
-,sp,d
4629,Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:1335,force_strike:0,skill_1:1960,skill_2:0,skill_3:734,team_buff:0,s1_powerup:599
3946,_c_Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],!<hp70>,2in1 ; Zephyr,attack:1138,force_strike:0,skill_1:1671,skill_2:0,skill_3:625,team_buff:0,s1_powerup:510
-,sp,kd
5092,Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:1468,force_strike:0,skill_1:2156,skill_2:0,skill_3:807,team_buff:0,s1_powerup:659
4340,_c_Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],!<hp70>,2in1 ; Zephyr,attack:1251,force_strike:0,skill_1:1838,skill_2:0,skill_3:688,team_buff:0,s1_powerup:561
-,sp,b
4672,Linyou,5*,wind,axe,2405,[Kung_Fu_Masters+Jewels_of_the_Sun][Vayu],<hp70>,2in1 ; Zephyr,attack:1201,force_strike:0,skill_1:2128,skill_2:0,skill_3:683,team_buff:0,s1_powerup:658
4060,_c_Linyou,5*,wind,axe,2405,[Kung_Fu_Masters+Jewels_of_the_Sun][Vayu],!<hp70>,2in1 ; Zephyr,attack:1043,force_strike:0,skill_1:1850,skill_2:0,skill_3:593,team_buff:0,s1_powerup:572
-,sp,kb
5139,Linyou,5*,wind,axe,2405,[Kung_Fu_Masters+Jewels_of_the_Sun][Vayu],<hp70>,2in1 ; Zephyr,attack:1321,force_strike:0,skill_1:2341,skill_2:0,skill_3:751,team_buff:0,s1_powerup:724
4466,_c_Linyou,5*,wind,axe,2405,[Kung_Fu_Masters+Jewels_of_the_Sun][Vayu],!<hp70>,2in1 ; Zephyr,attack:1148,force_strike:0,skill_1:2035,skill_2:0,skill_3:653,team_buff:0,s1_powerup:629
-,sp,rd
5123,Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:1335,force_strike:0,skill_1:2254,skill_2:0,skill_3:844,team_buff:0,s1_powerup:689
4367,_c_Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],!<hp70>,2in1 ; Zephyr,attack:1138,force_strike:0,skill_1:1922,skill_2:0,skill_3:719,team_buff:0,s1_powerup:587
-,sp,krd
5636,Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],<hp70>,2in1 ; Zephyr,attack:1468,force_strike:0,skill_1:2480,skill_2:0,skill_3:929,team_buff:0,s1_powerup:757
4803,_c_Linyou,5*,wind,axe,2397,[Kung_Fu_Masters+Crystalian_Envoy][Vayu],!<hp70>,2in1 ; Zephyr,attack:1251,force_strike:0,skill_1:2114,skill_2:0,skill_3:791,team_buff:0,s1_powerup:646
-,sp,rb
5193,Linyou,5*,wind,axe,2405,[Kung_Fu_Masters+Jewels_of_the_Sun][Vayu],<hp70>,2in1 ; Zephyr,attack:1201,force_strike:0,skill_1:2448,skill_2:0,skill_3:786,team_buff:0,s1_powerup:757
4513,_c_Linyou,5*,wind,axe,2405,[Kung_Fu_Masters+Jewels_of_the_Sun][Vayu],!<hp70>,2in1 ; Zephyr,attack:1043,force_strike:0,skill_1:2127,skill_2:0,skill_3:683,team_buff:0,s1_powerup:658
-,sp,krb
5712,Linyou,5*,wind,axe,2405,[Kung_Fu_Masters+Jewels_of_the_Sun][Vayu],<hp70>,2in1 ; Zephyr,attack:1321,force_strike:0,skill_1:2693,skill_2:0,skill_3:864,team_buff:0,s1_powerup:833
4964,_c_Linyou,5*,wind,axe,2405,[Kung_Fu_Masters+Jewels_of_the_Sun][Vayu],!<hp70>,2in1 ; Zephyr,attack:1148,force_strike:0,skill_1:2340,skill_2:0,skill_3:751,team_buff:0,s1_powerup:724
-,sp,db
4945,Linyou,5*,wind,axe,2405,[Kung_Fu_Masters+Jewels_of_the_Sun][Vayu],<hp70>,2in1 ; Zephyr,attack:1271,force_strike:0,skill_1:2253,skill_2:0,skill_3:723,team_buff:0,s1_powerup:697
4313,_c_Linyou,5*,wind,axe,2405,[Kung_Fu_Masters+Jewels_of_the_Sun][Vayu],!<hp70>,2in1 ; Zephyr,attack:1108,force_strike:0,skill_1:1965,skill_2:0,skill_3:630,team_buff:0,s1_powerup:608
-,sp,kdb
5440,Linyou,5*,wind,axe,2405,[Kung_Fu_Masters+Jewels_of_the_Sun][Vayu],<hp70>,2in1 ; Zephyr,attack:1398,force_strike:0,skill_1:2478,skill_2:0,skill_3:795,team_buff:0,s1_powerup:767
4744,_c_Linyou,5*,wind,axe,2405,[Kung_Fu_Masters+Jewels_of_the_Sun][Vayu],!<hp70>,2in1 ; Zephyr,attack:1219,force_strike:0,skill_1:2161,skill_2:0,skill_3:694,team_buff:0,s1_powerup:669
-,sp,rdb
