-,120,_
5412,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(5354~5450),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1196,force_strike:0,skill_1:1936,skill_2:0,skill_3:872,team_buff:0,s1_energized:14,s1_crisis:1239,s3_energized:91,s1_crisis_energized:61
3192,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3192~3192),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:978,force_strike:0,skill_1:1530,skill_2:0,skill_3:683,team_buff:0
-,120,k
5412,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(5354~5450),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1196,force_strike:0,skill_1:1936,skill_2:0,skill_3:872,team_buff:0,s1_energized:14,s1_crisis:1239,s3_energized:91,s1_crisis_energized:61
3192,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3192~3192),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:978,force_strike:0,skill_1:1530,skill_2:0,skill_3:683,team_buff:0
-,120,r
6043,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(5978~6088),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1196,force_strike:0,skill_1:2226,skill_2:0,skill_3:1003,team_buff:0,s1_energized:15,s1_crisis:1424,s3_energized:106,s1_crisis_energized:70
3524,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3524~3524),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:978,force_strike:0,skill_1:1760,skill_2:0,skill_3:786,team_buff:0
-,120,kr
6043,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(5978~6088),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1196,force_strike:0,skill_1:2226,skill_2:0,skill_3:1003,team_buff:0,s1_energized:15,s1_crisis:1424,s3_energized:106,s1_crisis_energized:70
3524,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3524~3524),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:978,force_strike:0,skill_1:1760,skill_2:0,skill_3:786,team_buff:0
-,120,d
5784,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(5704~5826),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1278,force_strike:0,skill_1:2069,skill_2:0,skill_3:933,team_buff:0,s1_energized:14,s1_crisis:1324,s3_energized:99,s1_crisis_energized:64
3413,_c_Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(3413~3413),!<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1045,force_strike:0,skill_1:1636,skill_2:0,skill_3:730,team_buff:0
-,120,kd
5784,Natalie,5星,暗,刀,2426,[TL+The_Chocolatiers];dpsrange:(5704~5826),<energy & hp20 & last offense>,20hp; Shinobi; 120s; can't maintain comboes,attack:1278,force_strike:0,skill_1:2069,skill_2:0,skill_3:933,team_buff:0,s1_energized:14,s1_crisis:1324,s3_energized:99,s1_crisis_energized:64
