-,60,_
4012,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:999,force_strike:731,skill_1:1505,skill_2:428,skill_3:0,team_buff:348
3776,_c_S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],!<hp70>,no bog; don't s3; c2fs,attack:935,force_strike:683,skill_1:1408,skill_2:400,skill_3:0,team_buff:348
-,60,k
4413,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:1099,force_strike:804,skill_1:1655,skill_2:470,skill_3:0,team_buff:383
4153,_c_S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1028,force_strike:752,skill_1:1549,skill_2:440,skill_3:0,team_buff:383
-,60,r
4424,S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],<hp70>,no bog; don't s3; c2fs,attack:736,force_strike:538,skill_1:2159,skill_2:614,skill_3:0,team_buff:376
4113,_c_S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],!<hp70>,no bog; don't s3; c2fs,attack:680,force_strike:497,skill_1:1992,skill_2:566,skill_3:0,team_buff:376
-,60,kr
4867,S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],<hp70>,no bog; don't s3; c2fs,attack:810,force_strike:592,skill_1:2374,skill_2:675,skill_3:0,team_buff:413
4524,_c_S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],!<hp70>,no bog; don't s3; c2fs,attack:748,force_strike:547,skill_1:2192,skill_2:623,skill_3:0,team_buff:413
-,60,d
4259,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:1060,force_strike:775,skill_1:1596,skill_2:454,skill_3:0,team_buff:372
4008,_c_S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],!<hp70>,no bog; don't s3; c2fs,attack:991,force_strike:725,skill_1:1493,skill_2:424,skill_3:0,team_buff:372
-,60,kd
4685,S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],<hp70>,no bog; don't s3; c2fs,attack:1166,force_strike:852,skill_1:1756,skill_2:499,skill_3:0,team_buff:410
4409,_c_S_Celliera,5*,water,sword,2807,[Valiant_Crown+Jewels_of_the_Sun][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1091,force_strike:797,skill_1:1643,skill_2:467,skill_3:0,team_buff:410
-,60,b
4433,S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],<hp70>,no bog; don't s3; c2fs,attack:1261,force_strike:557,skill_1:1675,skill_2:463,skill_3:0,team_buff:476
4227,_c_S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1195,force_strike:528,skill_1:1587,skill_2:439,skill_3:0,team_buff:476
-,60,kb
4877,S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],<hp70>,no bog; don't s3; c2fs,attack:1387,force_strike:613,skill_1:1842,skill_2:509,skill_3:0,team_buff:524
4649,_c_S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],!<hp70>,no bog; don't s3; c2fs,attack:1314,force_strike:581,skill_1:1746,skill_2:482,skill_3:0,team_buff:524
-,60,rd
4730,S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],<hp70>,no bog; don't s3; c2fs,attack:787,force_strike:575,skill_1:2308,skill_2:656,skill_3:0,team_buff:402
4397,_c_S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],!<hp70>,no bog; don't s3; c2fs,attack:726,force_strike:531,skill_1:2130,skill_2:605,skill_3:0,team_buff:402
-,60,krd
5203,S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],<hp70>,no bog; don't s3; c2fs,attack:866,force_strike:633,skill_1:2538,skill_2:722,skill_3:0,team_buff:442
4837,_c_S_Celliera,5*,water,sword,2323,[Valiant_Crown+Jewels_of_the_Sun][Siren],!<hp70>,no bog; don't s3; c2fs,attack:799,force_strike:584,skill_1:2343,skill_2:666,skill_3:0,team_buff:442
-,60,rb
4821,S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],<hp70>,no bog; don't s3; c2fs,attack:927,force_strike:410,skill_1:2326,skill_2:643,skill_3:0,team_buff:514
4552,_c_S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],!<hp70>,no bog; don't s3; c2fs,attack:869,force_strike:384,skill_1:2180,skill_2:603,skill_3:0,team_buff:514
-,60,krb
5303,S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],<hp70>,no bog; don't s3; c2fs,attack:1019,force_strike:451,skill_1:2558,skill_2:707,skill_3:0,team_buff:566
5007,_c_S_Celliera,5*,water,sword,2312,[The_Shining_Overlord+First_Rate_Hospitality][Siren],!<hp70>,no bog; don't s3; c2fs,attack:956,force_strike:422,skill_1:2399,skill_2:663,skill_3:0,team_buff:566
-,60,db
4707,S_Celliera,5*,water,sword,2794,[The_Shining_Overlord+First_Rate_Hospitality][DJ],<hp70>,no bog; don't s3; c2fs,attack:1337,force_strike:591,skill_1:1776,skill_2:491,skill_3:0,team_buff:509
