-,60,_
4438,W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:688,force_strike:453,skill_1:2029,skill_2:737,skill_3:0,team_buff:529
3281,_c_W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],!<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:592,force_strike:386,skill_1:1623,skill_2:680,skill_3:0,team_buff:0
-,60,k
4881,W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:757,force_strike:498,skill_1:2232,skill_2:811,skill_3:0,team_buff:582
3610,_c_W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],!<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:651,force_strike:424,skill_1:1785,skill_2:748,skill_3:0,team_buff:0
-,60,r
4895,W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:688,force_strike:453,skill_1:2333,skill_2:847,skill_3:0,team_buff:571
3627,_c_W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],!<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:592,force_strike:386,skill_1:1866,skill_2:782,skill_3:0,team_buff:0
-,60,kr
5384,W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:757,force_strike:498,skill_1:2567,skill_2:932,skill_3:0,team_buff:628
3990,_c_W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],!<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:651,force_strike:424,skill_1:2053,skill_2:860,skill_3:0,team_buff:0
-,60,d
4744,W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:736,force_strike:484,skill_1:2169,skill_2:788,skill_3:0,team_buff:566
3508,_c_W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],!<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:632,force_strike:412,skill_1:1735,skill_2:727,skill_3:0,team_buff:0
-,60,kd
5219,W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:810,force_strike:532,skill_1:2386,skill_2:867,skill_3:0,team_buff:622
3859,_c_W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],!<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:696,force_strike:454,skill_1:1908,skill_2:800,skill_3:0,team_buff:0
-,60,b
4825,W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:665,force_strike:436,skill_1:2339,skill_2:733,skill_3:0,team_buff:650
3471,_c_W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],!<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:563,force_strike:365,skill_1:1865,skill_2:677,skill_3:0,team_buff:0
-,60,kb
5307,W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:732,force_strike:479,skill_1:2573,skill_2:807,skill_3:0,team_buff:715
3818,_c_W_Elisanne,5*,wind,sword,2229,[Valiant_Crown+Jewels_of_the_Sun][Vayu],!<hp70 & s2 defdown for 10s>,c2+fs; 2in1,attack:619,force_strike:401,skill_1:2052,skill_2:744,skill_3:0,team_buff:0
-,60,rd
