dps,name,star,element,weapon,str,amulets,condition,comment,
8034,Xander,5星,水,剑,2354,[Together_We_Stand+RR][Siren];dpsrange:(0~0),<hp70>,10 stacks striker's strength,attack:1009,force_strike:962,skill_1:3043,skill_2:1497,skill_3:0,team_buff:0,s1_boost:1521
7639,_c_Xander,5星,水,剑,2354,[Together_We_Stand+RR][Siren];dpsrange:(0~0),!<hp70>,10 stacks striker's strength,attack:960,force_strike:915,skill_1:2893,skill_2:1423,skill_3:0,team_buff:0,s1_boost:1446
8034,Xander,5星,水,剑,2354,[Together_We_Stand+RR][Siren];dpsrange:(0~0),<hp70>,10 stacks striker's strength,attack:1009,force_strike:962,skill_1:3043,skill_2:1497,skill_3:0,team_buff:0,s1_boost:1521
7639,_c_Xander,5星,水,剑,2354,[Together_We_Stand+RR][Siren];dpsrange:(0~0),!<hp70>,10 stacks striker's strength,attack:960,force_strike:915,skill_1:2893,skill_2:1423,skill_3:0,team_buff:0,s1_boost:1446
3395,Xander,5星,水,剑,2864,[Stellar_Show+LC][DJ];dpsrange:(0~0),<hp70>,only 2+1,attack:1369,force_strike:2025,skill_1:0,skill_2:0,skill_3:0,team_buff:0
3164,_c_Xander,5星,水,剑,2864,[Stellar_Show+LC][DJ];dpsrange:(0~0),!<hp70>,only 2+1,attack:1276,force_strike:1887,skill_1:0,skill_2:0,skill_3:0,team_buff:0
4126,Vanessa,4星,火,斧,1995,[KFM+Flower_in_the_Fray][Sakuya];dpsrange:(0~0),<last offense>,void weapon vs HMS,attack:1072,force_strike:80,skill_1:2000,skill_2:797,skill_3:0,team_buff:176
4036,_c_Vanessa,4星,火,斧,1995,[KFM+Flower_in_the_Fray][Sakuya];dpsrange:(0~0),!<last offense>,void weapon vs HMS,attack:1044,force_strike:80,skill_1:1966,skill_2:768,skill_3:0,team_buff:176
3817,Heinwald,5星,暗,奶,2192,[RR+Jewels_of_the_Sun][Shinobi];dpsrange:(0~0),<hp70 & buff all teammates>,,attack:1034,force_strike:0,skill_1:1557,skill_2:0,skill_3:530,team_buff:695
2740,_c_Heinwald,5星,暗,奶,2192,[RR+Jewels_of_the_Sun][Shinobi];dpsrange:(0~0),!<hp70 & buff all teammates>,,attack:907,force_strike:0,skill_1:1367,skill_2:0,skill_3:465,team_buff:0
5331,Linyou,5星,风,斧,3190,[KFM+Flower_in_the_Fray][Zephyr];dpsrange:(0~0),<hp70>,2in1 ; Zephyr,attack:1843,force_strike:0,skill_1:2075,skill_2:0,skill_3:777,team_buff:0,s1_powerup:634
4988,_c_Linyou,5星,风,斧,3190,[KFM+Flower_in_the_Fray][Zephyr];dpsrange:(0~0),!<hp70>,2in1 ; Zephyr,attack:1725,force_strike:0,skill_1:1942,skill_2:0,skill_3:727,team_buff:0,s1_powerup:593
4510,Louise,5星,风,弓,2749,[Stellar_Show+Forest_Bonds][Pazuzu];dpsrange:(0~0),<0 resist>,roll fs & g_ranzal+lowen,attack:0,force_strike:2030,skill_1:1413,skill_2:676,skill_3:0,team_buff:0,s1_poison:218,s2_boost:172
3837,_c_Louise,5星,风,弓,2749,[Stellar_Show+Forest_Bonds][Pazuzu];dpsrange:(0~0),!<0 resist>,roll fs & g_ranzal+lowen,attack:0,force_strike:1890,skill_1:1326,skill_2:619,skill_3:0,team_buff:0,s1_poison:0,s2_boost:0
7692,Veronica,5星,暗,法,2294,[FoG+Heralds_of_Hinomoto][Shinobi];dpsrange:(0~0),<hp1 & hit15>,1hp; only c5 & s1; ,attack:1233,force_strike:0,skill_1:2828,skill_2:0,skill_3:0,team_buff:96,s1_crisis:3535
3577,_c_Veronica,5星,暗,法,2294,[FoG+Heralds_of_Hinomoto][Shinobi];dpsrange:(0~0),!<hp1 & hit15>,1hp; only c5 & s1; ,attack:1056,force_strike:0,skill_1:2424,skill_2:0,skill_3:0,team_buff:96
5362,Marth,5星,火,剑,2327,[The_Shining_Overlord+FoG][Sakuya];dpsrange:(0~0),<hit15>,dodge*2 to miss s2p3 then dodge*2 back to attack,attack:826,force_strike:377,skill_1:1984,skill_2:199,skill_3:712,team_buff:1262
4504,_c_Marth,5星,火,剑,2327,[The_Shining_Overlord+FoG][Sakuya];dpsrange:(0~0),!<hit15>,dodge*2 to miss s2p3 then dodge*2 back to attack,attack:653,force_strike:298,skill_1:1568,skill_2:157,skill_3:563,team_buff:1262
